ensembl_transcript_id	ensembl_gene_id	chromosome	start	end	strand	log2FC	pvalue	padj
ENST00000395452	ENSG00000198157	X	80255856	80344097	-	-2.16860475030796	9.5162588740838e-17	1.57274880121199e-15
ENST00000309579	ENSG00000173915	10	105138788	105146213	-	-2.17799803346502	1.86892224568741e-25	6.08361564908384e-24
ENST00000279968	ENSG00000150433	11	124472173	124486719	-	-2.18304214229681	2.95281053052584e-06	1.69152940590135e-05
ENST00000348108	ENSG00000092841	12	54838367	54841633	+	-2.18363616461685	2.40522811140383e-56	5.59766836656046e-54
ENST00000372927	ENSG00000102384	X	100239827	100305326	+	-2.20989914600919	6.06768354994197e-19	1.35544231380929e-17
ENST00000393500	ENSG00000128573	7	113841565	114121063	+	-2.21141366635236	7.7625499284763e-14	1.11930622991641e-12
ENST00000298717	ENSG00000165819	14	21036123	21049297	-	-2.22291444287752	3.2526347010449e-37	1.85880914589554e-35
ENST00000251507	ENSG00000152061	1	172395171	173226353	+	-2.22421644531654	0.00026590230679169	0.00110632452377931
ENST00000275189	ENSG00000146376	6	129938970	130073063	-	-2.22863314725497	2.36241794952315e-96	9.62940385623691e-94
ENST00000264498	ENSG00000138685	4	123967313	124038840	+	-2.23229977914828	0.00131353867082719	0.00678916803890892
ENST00000302278	ENSG00000150093	10	33229326	33287204	-	-2.24018718851709	0	0
ENST00000360325	ENSG00000181885	17	7103953	7106520	-	-2.25881363987355	1.74946710418532e-17	3.35927494005866e-16
ENST00000368072	ENSG00000162735	1	158513231	158521555	-	-2.2630084791657	8.58977742320848e-14	1.7668197347097e-12
ENST00000335247	ENSG00000186684	2	127657888	127694124	-	-2.26545910304155	1.8205528862249e-06	8.88721106488184e-06
ENST00000366521	ENSG00000203666	1	243199794	243352916	+	-2.26718384244309	0.000332269742465257	0.00104484249795343
ENST00000393606	ENSG00000108312	17	39637928	39653776	-	-2.27736858176531	2.15510822418733e-05	8.43155269079349e-05
ENST00000333677	ENSG00000183111	5	148941328	148994720	+	-2.28154534712355	5.37806358415385e-05	0.000196934263162882
ENST00000374039	ENSG00000131051	20	33754946	33793648	-	-2.28247771085439	2.09203715604732e-09	1.84634059826472e-08
ENST00000222572	ENSG00000105854	7	94872111	94902320	-	-2.28512512027454	8.07085869731134e-80	3.2247992482816e-77
ENST00000376228	ENSG00000204525	6	31344505	31432935	-	-2.29123842630233	4.94299938980663e-86	1.45981957927344e-83
ENST00000266718	ENSG00000139329	12	90021363	90029673	-	-2.30067341465958	8.41246602539515e-209	5.5611298824334e-205
ENST00000005178	ENSG00000004799	7	95050753	95063861	-	-2.3017155488869	1.61100147044709e-37	9.12979767974209e-36
ENST00000316355	ENSG00000138764	4	78297551	78325286	+	-2.32038748618081	6.4975093664885e-19	1.02447695230118e-17
ENST00000359635	ENSG00000206450	c6_QBL	31371751	31457994	-	-2.33429064775599	5.5759777505359e-60	9.53114808162168e-58
ENST00000338768	ENSG00000118705	20	35240888	35303434	+	-2.34212739912382	2.46462026737097e-06	1.46503591876516e-05
ENST00000392307	ENSG00000118495	6	144303130	144371234	-	-2.34237553126936	4.12977292120408e-05	0.00019790615730291
ENST00000398450	ENSG00000214510	5	147628616	147645966	+	-2.35009648511202	2.67764075779858e-81	8.5737296918748e-79
ENST00000334227	ENSG00000186611	12	9440930	9446360	-	-2.35432015317272	1.52350561493851e-06	9.0931667240953e-06
ENST00000380941	ENSG00000181143	19	8885135	8952814	-	-2.35560101273485	6.90703260379933e-08	5.50843631176149e-07
ENST00000318024	ENSG00000006611	11	17467090	17522539	-	-2.37789048145622	5.43738082627945e-31	2.2810694489888e-29
ENST00000261377	ENSG00000005189	16	20725322	20768485	+	-2.39509273559409	1.05761401827244e-05	5.62446870852121e-05
ENST00000313961	ENSG00000143248	1	161378724	161454008	-	-2.40432183133756	2.44196694504906e-05	9.4807535441163e-05
ENST00000296474	ENSG00000164078	3	49899444	49916310	-	-2.41395746606047	4.49368702036921e-13	6.51832016468189e-12
ENST00000261196	ENSG00000111700	12	20854905	20960925	+	-2.4162415512602	9.41097338878126e-37	5.06700734857965e-35
ENST00000299427	ENSG00000166340	11	6590573	6597268	-	-2.42631685933153	5.14706382558855e-164	1.01950616799805e-160
ENST00000228280	ENSG00000049130	12	87410697	87498369	-	-2.42705084793714	7.29752136987864e-74	2.78605136260439e-71
ENST00000358130	ENSG00000198157	X	80255856	80344097	-	-2.43143992819356	3.95153097121812e-17	5.58233167749889e-16
ENST00000234038	ENSG00000115685	2	241737680	241771112	+	-2.44754526614395	1.02019886931628e-11	1.5339569756686e-10
ENST00000261353	ENSG00000119801	2	30223311	30236903	+	-2.44838365011901	1.65233419016526e-28	6.3326633844835e-27
ENST00000367406	ENSG00000066279	1	195319885	195382287	-	-2.45184906821417	6.03356533021802e-46	4.82468769213888e-44
ENST00000261336	ENSG00000126838	12	9192704	9252233	-	-2.45235788702546	6.71081330692295e-07	5.70498125866718e-06
ENST00000393155	ENSG00000011465	12	90063167	90100937	-	-2.46710790931787	1.89309664898818e-13	3.14284825661651e-12
ENST00000355458	ENSG00000113971	3	133759672	133923993	-	-2.48293851832773	3.18711415319406e-10	3.04599997540151e-09
ENST00000366691	ENSG00000116574	1	226937491	226949032	+	-2.49596143712659	2.65422655981117e-71	5.79978998477558e-69
ENST00000304400	ENSG00000145730	5	102229422	102394708	+	-2.49656867304472	2.19141287813921e-76	6.22744711929415e-74
ENST00000356000	ENSG00000133318	11	63205498	63283913	+	-2.49965814141269	8.17933028672525e-118	7.08260461192802e-115
ENST00000355659	ENSG00000105854	7	94872111	94902320	-	-2.50687667896105	1.3195453325261e-199	8.33853109035166e-196
ENST00000381335	ENSG00000108515	17	4795131	4801150	+	-2.50829554302331	2.8655718410294e-34	1.38906791985421e-32
ENST00000398258	ENSG00000196776	3	109244631	109292629	-	-2.51776819253558	1.16536112687499e-21	2.18248929861518e-20
ENST00000361253	ENSG00000132142	17	32516036	32841015	-	-2.53177320905261	8.5598780887931e-23	2.06067163465954e-21
ENST00000372393	ENSG00000130707	9	132309915	132366482	+	-2.54462697315277	3.13848492285016e-131	4.10405150388984e-128
ENST00000330688	ENSG00000077092	3	25190893	25614424	+	-2.56193945032567	0.000205080325361792	0.031313426456623
ENST00000376405	ENSG00000137337	6	30775564	30793437	-	-2.57246973898847	7.75711669981928e-06	3.46045398420188e-05
ENST00000352480	ENSG00000130707	9	132309915	132366482	+	-2.58265978095094	2.40417420673291e-44	1.84380571645231e-42
ENST00000358365	ENSG00000126858	17	27493586	27576859	+	-2.58640268021868	1.06942895158438e-06	8.89526183754032e-06
ENST00000199448	ENSG00000086289	7	37926688	37958065	+	-2.59896905577689	1.6821416220422e-42	1.23320844579397e-40
ENST00000005226	ENSG00000006611	11	17467090	17522539	-	-2.62971218925298	0.000177360164700706	0.00146692371509165
ENST00000371497	ENSG00000182463	20	51022353	51540889	+	-2.6338475722926	2.24072919475859e-13	3.12544272394765e-12
ENST00000257836	ENSG00000135378	11	32808065	32832679	+	-2.64765610720308	6.5708730610832e-08	6.39497354581434e-07
ENST00000370575	ENSG00000119943	10	100133316	100164931	-	-2.64903061295337	5.62006637499981e-05	0.000760799833449431
ENST00000373250	ENSG00000198157	X	80255856	80344097	-	-2.70727303871077	6.57840610220183e-05	0.000591088881013462
ENST00000356994	ENSG00000180900	8	144945078	144969537	-	-2.7211096099157	2.55930872386128e-24	5.51324658232827e-23
ENST00000373226	ENSG00000092853	1	35958406	36008155	-	-2.72277463021584	1.22429586421487e-06	7.34459658129504e-06
ENST00000308108	ENSG00000175305	8	95951746	95976660	-	-2.76163976155818	1.54942922980847e-44	1.64242329120193e-42
ENST00000341860	ENSG00000115896	2	198656724	198721293	+	-2.77687657735224	0.000143673399081171	0.0232610911820997
ENST00000264449	ENSG00000124406	4	42105147	42353879	-	-2.79903525453575	5.07364329396278e-13	6.62259609060106e-12
ENST00000296522	ENSG00000164120	4	175647958	175680213	-	-2.80894899547492	1.91659260433416e-11	2.19529000512754e-10
ENST00000052754	ENSG00000011465	12	90063167	90100937	-	-2.80956050597587	6.69793502438305e-06	2.85827859007106e-05
ENST00000366548	ENSG00000174371	1	240078158	240119670	+	-2.81716400659305	4.42283494206793e-17	6.10690115454411e-16
ENST00000260113	ENSG00000137558	8	75899327	75929819	+	-2.93006793367569	3.38065992567757e-17	7.62782321526201e-16
ENST00000331986	ENSG00000181143	19	8885135	8952814	-	-3.04500886228358	8.29928078194031e-07	5.16876071825305e-06
ENST00000347739	ENSG00000120889	8	22933598	22982637	-	-3.10876880196451	3.62601568759359e-72	6.90729387378837e-70
ENST00000377122	ENSG00000078114	10	21110098	21502768	-	-3.13599705190469	0.00108081152220206	0.038143048584857
ENST00000383320	ENSG00000206337	6	31538938	31541460	+	-3.188098602031	1.65675344562514e-14	2.44715040361026e-13
ENST00000371826	ENSG00000119922	10	91051692	91059013	+	-3.19251834632428	4.28893426051839e-40	1.97294954299971e-38
ENST00000368149	ENSG00000146376	6	129938970	130073063	-	-3.19304421785981	1.51347696750348e-12	2.29747015226768e-11
ENST00000394855	ENSG00000140403	15	76343551	76361591	+	-3.24514023068361	5.01715278392038e-09	4.13869910429181e-08
ENST00000339789	ENSG00000111801	6	26548742	26561629	+	-3.26341636215394	7.84396824720911e-05	0.0148980587913404
ENST00000336176	ENSG00000106460	7	12217449	12243411	+	-3.3189364201954	5.6415373676025e-92	2.07052420762675e-89
ENST00000393066	ENSG00000108395	17	54414793	54539011	-	-3.33720937911904	2.82148620678574e-07	1.94536985612545e-06
ENST00000276480	ENSG00000147488	8	53185952	53484848	-	-3.42775315147908	0.000343313094440881	0.0122193667718868
ENST00000265342	ENSG00000053108	5	132560051	132976122	-	-3.45307356149702	2.74316019621959e-18	7.35555091103568e-17
ENST00000366767	ENSG00000143776	1	225244190	225572449	-	-3.49967318986163	9.9793018591671e-53	1.05233031464957e-50
ENST00000338368	ENSG00000121031	8	48848222	49035296	-	-3.52028049151946	0	0
ENST00000272559	ENSG00000144152	2	112612433	112662262	+	-3.54664408023298	8.81334435872236e-05	0.000778273424261323
ENST00000262065	ENSG00000108960	17	50824973	50854340	-	-3.59447466331013	1.00135252571513e-29	4.5601834500129e-28
ENST00000381902	ENSG00000205809	12	10474477	10479859	-	-3.89859293987192	0.000243048168789487	0.00955764311569541
ENST00000295958	ENSG00000163683	4	39228943	39316876	-	-3.98498844951016	1.4496689718033e-35	8.74892616424199e-34
ENST00000370466	ENSG00000162645	1	89345898	89364387	-	-4.02652494132524	4.92197542666265e-08	3.73331122678585e-07
ENST00000312108	ENSG00000205560	22	49354156	49368260	-	-4.36311172085726	8.61878470760405e-08	1.20354282047962e-06
ENST00000377159	ENSG00000078114	10	21110098	21502768	-	-4.75852678345776	2.35045515033695e-05	0.00513983129475688
ENST00000389082	ENSG00000170456	12	31426424	31635219	-	-5.80177170443086	7.74145438572804e-08	5.53358522120249e-07
ENST00000381166	ENSG00000100767	14	72773958	72811098	+	-9.81711305799657	6.9467359497165e-07	1.27822870831438e-05
ENST00000266027	ENSG00000114353	3	50248640	50271775	+	-9.87305438743716	8.73181657624481e-07	1.58854629030396e-05
ENST00000231368	ENSG00000113441	5	96296854	96390871	+	-9.89382173764127	4.7533170989675e-07	5.91748271926253e-06
ENST00000374792	ENSG00000181409	17	76705703	76754467	-	-9.90034645823907	4.80947841550696e-07	6.0434042326828e-06
ENST00000403834	ENSG00000112282	6	131936801	131991062	-	-9.93389726114958	4.07226266937421e-07	5.18697980600683e-06
ENST00000216271	ENSG00000100429	22	49025742	49031941	-	-9.97007610581128	3.23658674272256e-07	9.56834009338037e-05
ENST00000378641	ENSG00000182621	20	8061296	8813547	+	-9.98361871621523	3.56094626068169e-07	0.000103636166586192
ENST00000369727	ENSG00000156384	10	105871806	105876130	+	-10.0193375044846	2.44388908108776e-07	3.20935864471306e-06
ENST00000301923	ENSG00000100354	22	38770767	39061757	+	-10.122119055207	1.66509173625579e-07	3.34080316280996e-06
ENST00000238613	ENSG00000119636	14	73555873	73602546	+	-10.2118887867918	9.39987080856839e-08	1.94536985612545e-06
ENST00000340674	ENSG00000185219	3	44456266	44472885	-	-10.2306953481229	1.06229907901208e-07	1.44807790414732e-06
ENST00000375331	ENSG00000204344	6	32046931	32057202	+	-10.2392499614162	7.65773226517642e-08	1.60342781864805e-06
ENST00000367177	ENSG00000170382	1	202852921	202921220	-	-10.2621050892074	7.100814824513e-08	2.3408331339784e-05
ENST00000332129	ENSG00000116852	1	199205143	199259451	-	-10.2976362071338	5.37128246247134e-08	7.69313886984373e-07
ENST00000393776	ENSG00000164463	5	172415976	172496567	+	-10.3108186958142	5.37240740722546e-08	7.69313886984373e-07
ENST00000348245	ENSG00000179335	15	72687766	72709595	+	-10.3123858802136	4.9586262005996e-08	1.6575359090783e-05
ENST00000375062	ENSG00000102316	X	54850757	54859170	+	-10.3808806178864	3.1840827003136e-08	1.09293746014646e-05
ENST00000354340	ENSG00000062370	19	49522546	49552696	-	-10.4022308707342	3.28344185112335e-08	1.12410751558495e-05
ENST00000357998	ENSG00000106692	9	107360232	107443220	+	-10.4126584846212	2.74316997003881e-08	6.07496515073452e-07
ENST00000349721	ENSG00000080503	9	2005342	2183624	+	-10.4355399515031	2.46285266586953e-08	8.59480620284526e-06
ENST00000355209	ENSG00000100413	22	40251754	40270556	-	-10.477726092884	1.77772095892754e-08	6.34743089390569e-06
ENST00000360998	ENSG00000165209	9	124927139	125070718	-	-10.5240831494174	1.66030181632554e-08	1.33674975351742e-07
ENST00000314571	ENSG00000154743	3	12500942	12549811	+	-10.5240940259114	1.34638586407354e-08	1.03989139572661e-07
ENST00000392321	ENSG00000196458	12	132008115	132042965	-	-10.5990185547349	8.03370196647414e-09	4.9996831869772e-08
ENST00000380043	ENSG00000047634	X	17665509	17683026	+	-10.623210442635	1.27945908505009e-08	7.80698707391987e-08
ENST00000367105	ENSG00000143479	1	204866731	204924381	+	-10.6621434379223	6.48399555966918e-09	3.9475219758215e-08
ENST00000354386	ENSG00000100578	14	57963351	58085299	+	-10.7846021879326	2.35395743738437e-09	1.98275850585065e-08
ENST00000394439	ENSG00000138735	4	120635000	120769429	-	-10.7867421161132	2.42724755319662e-09	2.04120971032684e-08
ENST00000374384	ENSG00000101019	20	33353783	33463248	-	-10.8250552101259	1.81471747924033e-09	1.56118126209598e-08
ENST00000398209	ENSG00000008277	7	87401638	87664383	+	-10.8342733809417	2.14656661952285e-09	1.41603914952625e-08
ENST00000327214	ENSG00000111790	12	26982583	27020271	+	-11.009496733427	6.89678279092052e-10	4.90064592582417e-09
ENST00000368322	ENSG00000143622	1	154134225	154147801	-	-11.0704191272203	3.17719082490395e-10	2.98311984444279e-09
ENST00000355667	ENSG00000079805	19	10685143	10803579	+	-11.115741658698	2.29778094624713e-10	2.32770992268967e-09
ENST00000286186	ENSG00000003400	2	201755866	201802355	+	-11.1516467966329	1.79071048696755e-10	1.35765799172649e-09
ENST00000394338	ENSG00000157510	5	148631651	148701558	+	-11.170267881769	1.5185584458001e-10	1.58069515979979e-09
ENST00000404984	ENSG00000106012	7	2565158	2620893	+	-11.2003915364968	1.43604258791788e-10	1.43248837515314e-09
ENST00000392041	ENSG00000197782	19	45270604	45288685	-	-11.2067061583487	1.13170841698207e-10	1.24874554612839e-09
ENST00000379242	ENSG00000205221	2	36777411	36895433	+	-11.2334457416251	1.13322843846067e-10	1.15448702838861e-09
ENST00000367297	ENSG00000134369	1	199859224	200062720	+	-11.2478716022568	2.18227270830765e-10	2.1128851450645e-09
ENST00000383067	ENSG00000206208	c6_COX	33336155	33350846	-	-11.3551688911982	3.9642925324824e-11	4.62332327403076e-10
ENST00000376344	ENSG00000165118	9	85743049	85761721	-	-11.4879141144889	1.3689567443567e-11	1.66211215710096e-10
