TranscriptID	Gene	fpkm_Mock_control	fpkm_METTL3_KD	lnFC	pval	adjp
ENST00000401049	ZYG11A	7.16418	1.06439	-1.90669	0	0
ENST00000371528	ZYG11A	0.71883	4.28562	1.7854	0	0
ENST00000329505	MRPL37	1.65074	0.816777	-0.703614	0.0172389	0.0486843
ENST00000371281	TTC4	0.303185	0.801319	0.971916	0.0151472	0.043454
ENST00000406056	RP11-213P13.1	0.182498	0.0374707	-1.58318	0	0
ENST00000315089	FGGY	0.820186	0.0799821	-2.32773	0.000121638	0.000537949
ENST00000371210	FGGY	0.831002	0.061528	-2.60314	0.013246	0.0385623
ENST00000371191	NFIA	0.957377	2.42053	0.927545	0.000249212	0.00104717
ENST00000407417	NFIA	0	0.250238	Inf	0.00195355	0.00690632
ENST00000371187	NFIA	0.206655	0.778586	1.32643	0.000428412	0.00172386
ENST00000255202	INADL	4.30472	1.21759	-1.26284	0	0
ENST00000307297	INADL	3.79594	1.3536	-1.03117	0	0
ENST00000316485	INADL	0	0.212707	Inf	4.64582e-07	2.83859e-06
ENST00000371156	INADL	0.438631	0.203352	-0.768721	0.000951899	0.00358533
ENST00000371158	INADL	2.65913	1.17238	-0.81896	0	0
ENST00000395513	INADL	4.02439	1.39943	-1.05631	0	0
ENST00000406645	HBXIPL	5.1379	0.530137	-2.27126	1.33254e-08	9.53423e-08
ENST00000317868	ATG4C	8.53049	3.74449	-0.823362	0	0
ENST00000405765	ALG6	1.84896	0.844281	-0.783893	0.00151532	0.00547525
ENST00000371108	ALG6	8.13275	4.03816	-0.70011	3.68423e-10	3.0235e-09
ENST00000263440	ALG6	3.49144	0.506499	-1.93055	2.55351e-13	2.69889e-12
ENST00000411252	SRP_euk_arch	15.3997	2.32523	-1.89053	7.67352e-05	0.000349253
ENST00000388069	AL109925.11-1	19.3506	0	-Inf	2.89725e-06	1.6099e-05
ENST00000371073	CACHD1	1.05743	2.15099	0.71009	1.50786e-06	8.6503e-06
ENST00000335761	CACHD1	0.937035	1.89064	0.701952	9.72035e-06	5.04192e-05
ENST00000294428	RAVER2	4.87539	1.15471	-1.44035	0	0
ENST00000294419	AK3L1	4.90273	1.99817	-0.89756	3.17193e-10	2.61672e-09
ENST00000406510	LEPR	1.05333	2.83753	0.99098	3.9581e-07	2.43732e-06
ENST00000371059	LEPR	0	0.268831	Inf	1.69751e-05	8.50552e-05
ENST00000349533	LEPR	0.131226	0	-Inf	0.00320539	0.0108529
ENST00000371058	LEPR	2.41545	0.46056	-1.6572	1.37668e-12	1.37521e-11
ENST00000371049	PDE4B	0.138346	1.07946	2.05446	1.59104e-08	1.12957e-07
ENST00000341517	PDE4B	0.231864	0.765185	1.19397	0.000176471	0.000760672
ENST00000371048	PDE4B	3.76427	0.783052	-1.57011	0.000161684	0.000701051
ENST00000371045	PDE4B	2.33965	0.0450044	-3.95099	1.19016e-13	1.28663e-12
ENST00000237247	SGIP1	0.00482111	8.49564e-05	-4.03862	2.66454e-15	3.19403e-14
ENST00000371039	SGIP1	0.0257838	0.000574786	-3.8035	1.1217e-06	6.55103e-06
ENST00000371036	SGIP1	0	0.0439274	Inf	0.0125045	0.0366924
ENST00000371035	SGIP1	0.0150839	0	-Inf	0.0172768	0.0487756
ENST00000262345	IL12RB2	0.0400094	0.409561	2.32597	0.000640891	0.00249586
ENST00000411331	U6	1.84711	0	-Inf	0	0
ENST00000370985	GADD45A	2.69309	18.3333	1.91803	0	0
ENST00000370986	GADD45A	6.69677	22.6729	1.21954	1.55431e-15	1.88993e-14
ENST00000370949	SFRS11	61.2346	18.6936	-1.18653	0	0
ENST00000395024	AL096829.17	2.96032	12.9237	1.47376	1.70134e-06	9.7097e-06
ENST00000370834	ACADM	6.94619	2.61678	-0.976247	1.77636e-15	2.15694e-14
ENST00000342754	NEXN	0	0.0659408	Inf	0.0158928	0.0453362
ENST00000370747	IFI44	6.64154	1.85344	-1.2763	5.32907e-15	6.28209e-14
ENST00000370721	LPHN2	0	0.31385	Inf	9.31316e-09	6.7568e-08
ENST00000370723	LPHN2	0.227117	0	-Inf	8.31918e-05	0.000376732
ENST00000370725	LPHN2	0.488489	0	-Inf	1.10902e-07	7.26908e-07
ENST00000403393	RP11-159J16.1	0.00848199	2.65662	5.74686	0	0
ENST00000319565	AL138799.9	0.00165267	0.463538	5.6365	0	0
ENST00000401032	AL358939.9	0.000341233	0.0182262	3.97805	0	0
ENST00000394871	LPHN2	0	0.0984977	Inf	0.00184682	0.00655477
ENST00000271029	LPHN2	0.232405	0.630907	0.998676	0.000312666	0.00128969
ENST00000335786	LPHN2	0.027239	0.168235	1.82071	0.00390292	0.0129812
ENST00000370712	LPHN2	0.155505	0	-Inf	0.000322109	0.00132529
ENST00000370716	LPHN2	0	0.221977	Inf	2.1578e-07	1.36813e-06
ENST00000370717	LPHN2	0.276824	0	-Inf	9.25734e-06	4.81708e-05
ENST00000394879	LPHN2	0.198267	0	-Inf	9.2721e-05	0.00041663
ENST00000370565	CLCA2	0.296562	2.0549	1.93573	4.09428e-12	3.95365e-11
ENST00000212369	SH3GLB1	18.2731	47.0549	0.945884	0	0
ENST00000370551	HS2ST1	2.02741	5.96037	1.07837	4.9833e-08	3.37219e-07
ENST00000356813	HS2ST1	1.82137	3.73323	0.717687	0.000179279	0.000771718
ENST00000354207	AL139139.9-1	0	0.000944191	Inf	0	0
ENST00000370544	LMO4	2.28666	0.758434	-1.10359	4.06521e-06	2.22024e-05
ENST00000370542	LMO4	37.6822	17.5888	-0.761925	0	0
ENST00000384505	U6	11.8258	0	-Inf	0	0
ENST00000370454	LRRC8C	1.36968	0.571387	-0.874262	0.00035549	0.00145124
ENST00000370447	ZNF326	2.47408	0.427395	-1.75591	7.11697e-12	6.75116e-11
ENST00000234626	CDC7	19.4574	8.81522	-0.791748	2.22045e-15	2.67919e-14
ENST00000409154	KIAA1107	0.451155	0.143867	-1.14292	0.000696877	0.00269696
ENST00000370303	MTF2	2.48951	5.44945	0.783427	0.00300631	0.0102331
ENST00000401026	CCDC18	3.77513	9.15209	0.885548	0	0
ENST00000334652	CCDC18	3.37658	0.724726	-1.53883	0	0
ENST00000338949	CCDC18	3.74261	0.900163	-1.42496	0	0
ENST00000260506	FNBP1L	17.1038	4.60963	-1.31116	0	0
ENST00000271234	FNBP1L	0	1.63923	Inf	5.09327e-35	6.77253e-34
ENST00000332534	AC097059.2	0.885475	0.0889137	-2.29846	0.00597348	0.0190206
ENST00000315713	ABCD3	1.05866	5.51902	1.65119	7.09016e-07	4.23746e-06
ENST00000394212	SLC44A3	2.47138	0.771072	-1.16475	5.98913e-07	3.61473e-06
ENST00000263893	RWDD3	3.35354	1.18688	-1.03869	0.000180538	0.000776836
ENST00000404043	RP4-736I12.1	1.3931	4.05844	1.06927	0.00184099	0.00653619
ENST00000351590	SNX7	2.93417	7.6448	0.957603	3.18946e-08	2.20297e-07
ENST00000263174	PALMD	27.5712	13.0078	-0.75122	0	0
ENST00000361915	AGL	2.70344	1.12212	-0.879306	0	0
ENST00000361302	AGL	0.990462	0.309245	-1.16404	7.83632e-10	6.25727e-09
ENST00000370161	AGL	7.157	1.44914	-1.59712	0	0
ENST00000370156	SLC35A3	2.27108	0.393232	-1.75361	6.58746e-09	4.84956e-08
ENST00000370128	RTCD1	18.6202	6.68972	-1.02367	0	0
ENST00000305352	S1PR1	0.0799929	0.407653	1.62848	0.00261263	0.00900581
ENST00000361355	AMY2B	3.29343	1.33725	-0.901311	6.35862e-07	3.82307e-06
ENST00000305882	AMY2A	0.298927	0.0389482	-2.03797	0.00609746	0.0193761
ENST00000370022	PRPF38B	0	0.405014	Inf	0.00636136	0.0200901
ENST00000234923	KIAA1324	0.17929	0.555311	1.13052	0.00287533	0.00982142
ENST00000369938	KIAA1324	0.100871	0.664697	1.88549	2.56066e-05	0.000124936
ENST00000369936	KIAA1324	0.0871678	0.752881	2.15607	5.92965e-09	4.38434e-08
ENST00000241337	GSTM2	0.0499511	1.84819	3.61092	6.66134e-16	8.25695e-15
ENST00000309851	GSTM1	5.82551	2.03426	-1.05211	2.67077e-07	1.67839e-06
ENST00000349334	GSTM1	3.88535	0.262054	-2.69642	6.36243e-09	4.68938e-08
ENST00000329608	CSF1	0.667192	2.43252	1.29361	8.00256e-08	5.32211e-07
ENST00000357302	CSF1	0.77314	1.59054	0.72137	0.0119828	0.0353688
ENST00000369801	CSF1	1.29236	3.33213	0.947141	0.000292693	0.00121401
ENST00000294837	RBM15	0.521457	1.05792	0.707434	0.00245378	0.00849947
ENST00000317584	CEPT1	0.550907	1.15855	0.743358	0.0141521	0.0409083
ENST00000256640	WNT2B	0.866355	0.391127	-0.795262	0.00679731	0.0213247
ENST00000263168	CAPZA1	6.88898	1.97527	-1.24922	0	0
ENST00000393426	CAPZA1	87.4718	23.8437	-1.2998	0	0
ENST00000369644	MOV10	1.98773	4.63079	0.845732	2.33324e-12	2.29383e-11
ENST00000369648	MOV10	9.19428	1.56863	-1.76838	0	0
ENST00000357443	MOV10	1.02936	2.115	0.720112	0.000132746	0.000584083
ENST00000369615	MAGI3	0.302525	0.878558	1.06612	4.86679e-06	2.63193e-05
ENST00000393300	OLFML3	0.0839009	0.000140167	-6.39456	6.28479e-11	5.51412e-10
ENST00000404306	RP4-591B8.2	4.0521	0.295151	-2.6195	0.00193619	0.00684989
ENST00000365030	Y_RNA	18.1802	66.1235	1.29119	0.0123178	0.0362338
ENST00000369502	SLC22A15	0.46754	1.29816	1.02121	0.0131739	0.0383752
ENST00000295598	ATP1A1	21.439	9.67989	-0.79516	0	0
ENST00000369496	ATP1A1	163.165	75.3387	-0.77277	0	0
ENST00000369409	PHGDH	123.675	43.8185	-1.0376	0	0
ENST00000408269	AL583842.40-3	0	18.8437	Inf	9.41752e-180	1.33227e-178
ENST00000410856	U2	1.10672	0.176809	-1.83409	0	0
ENST00000320929	NOTCH2NL	15.5204	31.6332	0.712055	7.39409e-14	8.09875e-13
ENST00000369336	NBPF8	1.62655	0.657844	-0.905246	9.52767e-05	0.000427764
ENST00000393045	PIAS3	1.31718	0.608815	-0.771732	0.00109773	0.00408502
ENST00000401659	RP11-94I2.1	0.45178	0.998203	0.792761	0.00964068	0.029179
ENST00000361293	CHD1L	10.6638	4.47646	-0.868025	5.52891e-14	6.10133e-13
ENST00000401518	XXyac-YX155B6.2	0.673752	1.53255	0.821824	0.0121973	0.0359296
ENST00000407917	RP11-403I13.1	0.131948	0.0509615	-0.951339	0.00264488	0.00909919
ENST00000392939	HIST2H4A	9.55583	3.51246	-1.00084	5.55112e-15	6.52986e-14
ENST00000369165	HIST2H4A	3.96544	1.52802	-0.953645	0.000490338	0.00195007
ENST00000385925	AL138795.21-1	0	15.7857	Inf	7.88713e-312	1.1574e-310
ENST00000369099	C1orf54	0	1.00206	Inf	0.00378587	0.0126271
ENST00000290363	C1orf51	0.00931001	0.434773	3.84373	1.98107e-10	1.66391e-09
ENST00000369051	TARS2	1.14166	2.50518	0.785876	0.000497558	0.00197699
ENST00000369047	ECM1	2.12462	6.16952	1.06603	1.80851e-08	1.27718e-07
ENST00000369041	ADAMTSL4	0	1.91968	Inf	1.18006e-28	1.55831e-27
ENST00000271643	ADAMTSL4	8.02318	1.63078	-1.59328	0	0
ENST00000369039	ADAMTSL4	0.119719	1.66936	2.63505	5.77587e-09	4.27566e-08
ENST00000302413	PRUNE	1.19338	0.378808	-1.14751	4.02179e-05	0.00019061
ENST00000368936	PRUNE	2.62949	0.34232	-2.0388	1.9984e-15	2.41524e-14
ENST00000368902	SCNM1	3.40727	12.3722	1.28954	1.10474e-06	6.45964e-06
ENST00000368888	PIP5K1A	2.0702	8.27739	1.38588	4.97858e-07	3.03433e-06
ENST00000368849	TUFT1	5.77832	2.22636	-0.953746	0	0
ENST00000368694	C1orf77	2.98429	9.50338	1.15828	2.13463e-10	1.7888e-09
ENST00000392618	C1orf77	0.650844	2.42656	1.31596	0.00101058	0.00378692
ENST00000368670	INTS3	0.101429	0.541693	1.67534	0.0147802	0.0425146
ENST00000404248	RP11-759F5.1	0	0.439389	Inf	0	0
ENST00000368607	CREB3L4	3.92717	1.90223	-0.724889	4.68406e-05	0.000219916
ENST00000271889	CREB3L4	1.50009	0	-Inf	2.61049e-07	1.64192e-06
ENST00000368603	CREB3L4	7.56084	3.53769	-0.759507	1.54752e-08	1.09974e-07
ENST00000405694	CREB3L4	8.06286	2.76387	-1.07064	5.42233e-13	5.57196e-12
ENST00000364259	SNORA58	108.554	284.746	0.964353	0.00530077	0.017071
ENST00000368490	ATP8B2	0.97603	3.55737	1.29328	0.000550068	0.00217075
