hgnc	ensembl_gene_id	chromosome	start	end	strand	log2FC	pvalue	padj
SAMD11	ENSG00000187634	1	850393	869824	+	-2.61247638142979	4.38845075822293e-18	4.49515165699374e-17
MARCH10	ENSG00000173838	17	58132408	58239437	-	-2.60597224469758	0.000437380348066249	0.00118197355673885
ASS1	ENSG00000130707	9	132309915	132366482	+	-2.60396930630641	5.6851121220556e-283	1.27337036347175e-279
SERPINB12	ENSG00000166634	18	59374373	59385224	+	-2.575301464993	0.00368100077566719	0.00840737073830581
BRUNOL6	ENSG00000140488	15	70364123	70399579	-	-2.57193407908454	2.2549137715835e-06	8.44681542512656e-06
ZNF185	ENSG00000147394	X	151833653	151892681	+	-2.56709055309052	1.5570337574758e-22	2.16839136442666e-21
DPY19L2P2	ENSG00000214221	7	102701653	102708149	-	-2.54447204802705	3.90191983389597e-05	0.000124348827715741
ADAMTS10	ENSG00000142303	19	8551126	8581588	-	-2.54208268570747	2.91102188158105e-18	3.02327844409334e-17
CD37	ENSG00000104894	19	54530489	54535671	+	-2.54033213636708	0.00537090150660616	0.0118521420931495
IFI27	ENSG00000165949	14	93646832	93652786	+	-2.53160231848608	8.93010637895781e-05	0.000269507522180135
RHOU	ENSG00000116574	1	226937491	226949032	+	-2.53073229266099	5.06718589183653e-119	1.19470019649809e-116
DCN	ENSG00000011465	12	90063167	90100937	-	-2.50758231612548	5.10134545998775e-40	1.60931881776468e-38
DLX3	ENSG00000064195	17	45422388	45427587	-	-2.50509245894833	2.55381266011371e-13	1.87749936210438e-12
RCAN2	ENSG00000172348	6	46296428	46567668	-	-2.5020128470167	0.000286620357434564	0.000797492957259441
PRR18	ENSG00000176381	6	166640733	166641620	-	-2.49902750545917	0.0233947687935748	0.0446848063980744
USH1C	ENSG00000006611	11	17467090	17522539	-	-2.48333184379083	4.79261991601192e-62	3.20437905727782e-60
PON2	ENSG00000105854	7	94872111	94902320	-	-2.46517255112315	2.28968293246159e-208	3.07710489293514e-205
TPP1	ENSG00000166340	11	6590573	6597268	-	-2.45575050486352	1.92675566995549e-223	2.8770743831702e-220
WDR31	ENSG00000148225	9	115117751	115142388	-	-2.45267516937962	0.00017844552619949	0.000513738094814686
GRIP2	ENSG00000144596	3	14505623	14556840	-	-2.44234640566799	6.20658732623305e-05	0.000191527731520657
NPAS3	ENSG00000151322	14	32478200	33343133	+	-2.43718740177659	0.0212418705354271	0.0410098402708813
TMEM218	ENSG00000150433	11	124472173	124486719	-	-2.4271886856856	1.20730683004912e-19	1.39991341579207e-18
LFNG	ENSG00000106003	7	2518689	2535334	+	-2.40797940082231	0.000378237807855046	0.00103148090498457
CAPN3	ENSG00000092529	15	40427593	40491807	+	-2.39891025905067	8.26850549033208e-14	6.2922109447663e-13
MUC16	ENSG00000181143	19	8885135	8952814	-	-2.39448804299465	6.02755950564772e-72	5.66464141233564e-70
HLA.L	ENSG00000204600	6	30335353	30342707	+	-2.39396040721884	0.00345075127745782	0.00792322679271409
PAPLN	ENSG00000100767	14	72773958	72811098	+	-2.3884387365014	2.57393491197345e-29	5.07201045190781e-28
CCNG2	ENSG00000138764	4	78297551	78325286	+	-2.37129068715527	9.94069103122188e-44	3.55300390341997e-42
HPGD	ENSG00000164120	4	175647958	175680213	-	-2.37030558448927	3.11139280210164e-39	9.48163443706213e-38
ARHGAP18	ENSG00000146376	6	129938970	130073063	-	-2.36920710500242	1.49682695990637e-151	7.45031759784506e-149
SPON2	ENSG00000159674	4	1150725	1156602	-	-2.36880386629435	8.17595688938826e-09	3.99987930966468e-08
PCDH17	ENSG00000118946	13	57103790	57201066	+	-2.36607427715223	0.0214601050170197	0.0413853682534114
CFD	ENSG00000197766	19	810665	814606	+	-2.36457694340257	5.56855991257443e-08	2.49203718498461e-07
RNF144A	ENSG00000151692	2	6974974	7101761	+	-2.36254587296574	0.0215455040307019	0.0415185013863785
P2RX6	ENSG00000099957	22	19699316	19713119	+	-2.36070155473882	0.000151475487431777	0.000441578975183439
NDUFA4L2	ENSG00000185633	12	55914955	55920794	-	-2.35790737794028	0.00113880047735832	0.00287513425046373
NSBP1	ENSG00000198157	X	80255856	80344097	-	-2.35767149505785	3.4326251488711e-80	3.942824732964e-78
PDK4	ENSG00000004799	7	95050753	95063861	-	-2.35436366877537	6.60775831898669e-65	4.85254994802525e-63
FGGY	ENSG00000172456	1	59535328	60000988	+	-2.3533001467586	5.59806053960115e-07	2.25313973020964e-06
KITLG	ENSG00000049130	12	87410697	87498369	-	-2.34793647744829	0	0
CLDN7	ENSG00000181885	17	7103953	7106520	-	-2.34062659398241	1.412142394605e-40	4.57295943158953e-39
CLYBL	ENSG00000125246	13	99056924	99342825	+	-2.33179320474101	3.22025640171509e-05	0.000103906424448137
LUM	ENSG00000139329	12	90021363	90029673	-	-2.33023135038952	1.17547040669562e-184	1.0531431197055e-181
NFATC1	ENSG00000131196	18	75256760	75390310	+	-2.32295713475637	0.00595331742607219	0.013002865738499
C8orf79	ENSG00000170941	8	12847554	12931653	+	-2.30332910334636	1.91341732318176e-11	1.1993663902164e-10
OASL	ENSG00000135114	12	119942504	119961342	-	-2.29428974053213	6.88200009385762e-20	8.08454538997837e-19
COMMD8	ENSG00000169019	4	47140759	47160459	-	-2.28972583313078	2.18499501480395e-32	5.01094675835329e-31
PRSS12	ENSG00000164099	4	119421865	119493370	-	-2.27645933478057	9.83705043820057e-18	9.8436426536841e-17
RPUSD3	ENSG00000156990	3	9854533	9860700	-	-2.27413664740899	4.4763884812536e-23	6.4755850160998e-22
METTL3	ENSG00000165819	14	21036123	21049297	-	-2.2712900457548	7.74419662757334e-72	7.17753506744539e-70
BCAS3	ENSG00000141376	17	56109998	56824973	+	-2.26791642833042	4.85568599132542e-33	1.13884055911732e-31
DCST2	ENSG00000163354	1	153257627	153272881	-	-2.26710929522589	0.015795571377577	0.0315231190589927
HLA.C	ENSG00000204525	6	31344505	31432935	-	-2.25837243289489	6.58262948026382e-150	2.94879858617551e-147
HOXD10	ENSG00000128710	2	176689738	176692915	+	-2.25607658297566	3.5317394920579e-05	0.000113412298766466
ITGB1	ENSG00000150093	10	33229326	33287204	-	-2.25378211532994	0	0
CCL5	ENSG00000161570	17	31222608	31231910	-	-2.2499895116736	1.54469310477505e-08	7.34056953149643e-08
TRDMT1	ENSG00000107614	10	17224988	17283687	-	-2.24520111639626	0.0187822406799064	0.036795121355286
STOX1	ENSG00000165730	10	70257300	70325194	+	-2.24405402343756	3.25281647499462e-07	1.34547862749932e-06
MEF2C	ENSG00000081189	5	88051922	88214780	-	-2.23618145318142	0.00226565530152035	0.00537858003835576
SNX26	ENSG00000004777	19	40958316	40971564	+	-2.22351214124716	1.90586092474422e-11	1.19574532995507e-10
ZNF711	ENSG00000147180	X	84385653	84415022	+	-2.22160663122443	2.38259457287561e-05	7.83068927974452e-05
PIGZ	ENSG00000119227	3	198157612	198180101	-	-2.212719055138	0.0118365687305733	0.0242635215329734
SLC16A8	ENSG00000100156	22	36804093	36809116	-	-2.20318418792292	0.00615565777164499	0.0133882318810709
CYB5R1	ENSG00000159348	1	201197627	201203027	-	-2.20270067985044	1.23107577364542e-87	1.76004545978945e-85
ADAP1	ENSG00000105963	7	904066	960811	-	-2.20179823323943	0.00896262700298455	0.0188297542961462
NLRC4	ENSG00000091106	2	32303027	32344427	-	-2.20042831384174	0.00254273729621471	0.00598141896093638
AMT	ENSG00000145020	3	49429216	49435016	-	-2.19529239370251	1.5757913288349e-07	6.73760269889542e-07
TNFSF15	ENSG00000181634	9	116591421	116608233	-	-2.18502039916543	0.000139215343336992	0.000408229325574043
GALNTL6	ENSG00000174473	4	172971229	174199266	+	-2.18364039680127	3.89605770380697e-31	8.45866227487267e-30
KANK4	ENSG00000132854	1	62474425	62557671	-	-2.18076665662833	0.00645988449560266	0.013988783070642
C3orf47	ENSG00000206417	3	130519639	130527758	+	-2.17519804076815	0.00398507872548244	0.00904653259995922
MLXIPL	ENSG00000009950	7	72645460	72676806	-	-2.16627713991007	0.000165135402246968	0.000478184587545141
RTN3	ENSG00000133318	11	63205498	63283913	+	-2.16501901651948	5.10294823432783e-261	9.79693161730454e-258
FAM7A3	ENSG00000215304	15	30486097	30504170	-	-2.16294819585645	0.0029533143140896	0.00686552345044976
FAM7A3.1	ENSG00000215312	15	28662420	28680210	+	-2.16294819585645	0.0029533143140896	0.00686552345044976
FAM7A3.2	ENSG00000178081	15	28193434	28211236	+	-2.16294819585645	0.0029533143140896	0.00686552345044976
TMBIM6	ENSG00000139644	12	48421630	48460589	+	-2.15527285989197	1.43745453438497e-182	1.07321952708887e-179
ADAMTS13	ENSG00000160323	9	135276941	135314329	+	-2.15204521126508	0.00519177622289854	0.011496503651266
ARMETL1	ENSG00000185267	10	14901255	14920580	-	-2.15024955849709	0.000536514598829666	0.00142659630717249
MSLN	ENSG00000102854	16	752638	758866	+	-2.1500857720249	1.15202716431942e-138	4.0742350161286e-136
MYH3	ENSG00000109063	17	10472568	10500192	-	-2.1377720697157	0.00033671555530665	0.00092651931772442
HDHD1A	ENSG00000130021	X	6976961	7076189	-	-2.1348167321544	9.27653264491919e-51	4.19755293653431e-49
BMPER	ENSG00000164619	7	33911048	34162009	+	-2.13004932661709	3.42703123438179e-08	1.57509824756692e-07
MAP2	ENSG00000078018	2	209997016	210307087	+	-2.12946612656859	4.23092995922881e-07	1.72405905767362e-06
THRB	ENSG00000151090	3	24134709	24511317	-	-2.12241719694733	8.18079706174509e-40	2.55085224391629e-38
DENND1C	ENSG00000205744	19	6418219	6432798	-	-2.11966018618382	4.53837367860559e-05	0.000143138239537152
PZP	ENSG00000126838	12	9192704	9252233	-	-2.1083236968273	8.77312236393656e-31	1.87443547613583e-29
JAM3	ENSG00000166086	11	133444030	133526846	+	-2.09916816479639	2.50836610085323e-05	8.21392105978716e-05
MXD3	ENSG00000213347	5	176666821	176671502	-	-2.09280019640892	1.07284838381133e-09	5.74193923936301e-09
ZNFX1	ENSG00000124201	20	47288858	47328163	-	-2.09064098849443	1.49960269992628e-06	5.7172087047686e-06
ADARB2	ENSG00000185736	10	1218073	1769670	-	-2.08948554412675	1.14222970745291e-17	1.13538646734169e-16
TSHZ2	ENSG00000182463	20	51022353	51540889	+	-2.08851845386499	9.66383905367481e-26	1.6053440425505e-24
TNFSF10	ENSG00000121858	3	173706159	173723963	-	-2.08812526085402	0.0100760920001762	0.020971441906515
C7orf60	ENSG00000164603	7	112246439	112367168	-	-2.08415003574464	1.4018413459829e-23	2.09093738608925e-22
WDR52	ENSG00000206530	3	114493094	114643030	-	-2.0801968871404	3.00628165807397e-31	6.53744647295406e-30
FRMD3	ENSG00000172159	9	85047725	85343281	-	-2.07852794287468	4.81273494153111e-18	4.91103605764894e-17
MMP28	ENSG00000129270	17	31116989	31146753	-	-2.07782781534198	9.83854623624408e-09	4.77329324436405e-08
DDX60	ENSG00000137628	4	169374021	169476478	-	-2.07719922117129	1.2245830885956e-29	2.47104686601144e-28
CENPQ	ENSG00000031691	6	49539055	49568779	+	-2.07093604554791	1.86945270773888e-63	1.32928967932819e-61
MOXD1	ENSG00000079931	6	132658887	132764357	-	-2.06762841859516	1.7359016031754e-15	1.49351995166929e-14
SAMD13	ENSG00000203943	1	84536633	84589067	+	-2.06190825144896	0.0256607883604387	0.0486534050191782
USMG5	ENSG00000173915	10	105138788	105146213	-	-2.06166865405354	1.16370721082125e-64	8.49948978599281e-63
RBBP8	ENSG00000101773	18	18767293	18860447	+	-2.06050785127912	1.92128838255223e-104	3.58613813515548e-102
CCDC46	ENSG00000154240	17	61062121	61618435	-	-2.05861840024948	0.0192811429106098	0.037684595633462
EFCAB2	ENSG00000203666	1	243199794	243352916	+	-2.05506303559523	8.51853578315211e-22	1.13011453494355e-20
FSIP2	ENSG00000180922	2	186318512	186365310	+	-2.04563957548606	0.00856468272934268	0.0180720319044805
A2M	ENSG00000175899	12	9096693	9160020	-	-2.04390278445314	2.2281748271268e-127	6.23842531286605e-125
H19	ENSG00000130600	11	1972984	1975648	-	-2.04103780519454	0	0
TAS2R49	ENSG00000212125	12	11040812	11041741	-	-2.03964661324664	0.0164829556311359	0.0327538726492436
GUSB	ENSG00000169919	7	65063106	65084681	-	-2.03657143411633	1.22874091871768e-117	2.79882189943167e-115
BTBD1	ENSG00000064726	15	81476189	81527110	-	-2.03428140046136	1.50296332302224e-143	6.51558841874062e-141
FRYL	ENSG00000075539	4	48194137	48477073	-	-2.03313719646166	2.2332403996749e-82	2.75344199369092e-80
SLC6A16	ENSG00000063127	19	54484709	54520286	-	-2.03299679373544	0.00141084917383949	0.00349123149963719
PEX19	ENSG00000162735	1	158513231	158521555	-	-2.03071720348447	4.2674884649282e-68	3.49699862683964e-66
DECR1	ENSG00000104325	8	91082756	91133403	+	-2.02100186430097	2.18800776568838e-58	1.27846245056896e-56
TMEM107	ENSG00000179029	17	8017021	8020439	-	-2.01464547526083	8.45075611232743e-27	1.4845713907656e-25
SMAD9	ENSG00000120693	13	36316968	36392375	-	-2.01331540451981	2.63439848663007e-18	2.74447141564508e-17
C1orf228	ENSG00000198520	1	44912981	44963848	+	-2.0031637680371	0.0180569345773029	0.0355400034833588
SLFN5	ENSG00000166750	17	30594199	30618852	+	-2.00212083717752	7.21434864082375e-96	1.24299527415424e-93
