hgnc	ensembl_gene_id	chromosome	start	end	strand	log2FC	pvalue	padj
ALDH8A1	ENSG00000118514	6	135280222	135312937	-	3.27028644996848	0.00100829404099502	0.00809226205313671
HDC	ENSG00000140287	15	48321444	48345218	-	3.10029496003782	0.00117824190643479	0.0108005704971618
CCL20	ENSG00000115009	2	228386802	228390516	+	3.06253676446923	0.00376125384354144	0.0301263623223737
PROCR	ENSG00000101000	20	33222388	33228826	+	3.04548763068271	2.68233464113574e-34	7.69416817503598e-33
SUSD2	ENSG00000099994	22	22907444	22915074	+	3.01532911438916	8.42920218431358e-68	1.83516869543101e-65
CPA4	ENSG00000128510	7	129720230	129751249	+	2.96911411799913	3.38758963165956e-185	1.17048615753689e-181
FOSB	ENSG00000125740	19	50663093	50670254	+	2.95683263589677	1.50184552016328e-06	6.17693857190171e-06
NAV3	ENSG00000067798	12	76749200	77130921	+	2.95202060294545	6.26036989203207e-08	3.54724233806046e-07
TGM2	ENSG00000198959	20	36190280	36227114	-	2.94186951206212	1.70345868859906e-128	1.449325728573e-125
MME	ENSG00000196549	3	156280882	156384212	+	2.93924229020392	8.89330530586388e-19	1.32799711047459e-17
TAGLN	ENSG00000149591	11	116575250	116580717	+	2.92565470529588	3.87138565397569e-21	6.52728843106468e-20
INPP5D	ENSG00000168918	2	233633433	233781287	+	2.91684299815239	0.00124596420089607	0.0121179829000578
PCSK5	ENSG00000099139	9	77695406	78163658	+	2.88711955215911	0.000172047308478994	0.00205640697853359
KIAA1683	ENSG00000130518	19	18228909	18246235	-	2.88235783690065	0.000595556622325541	0.00558813811289103
GPR3	ENSG00000181773	1	27591739	27594900	+	2.84644766682148	1.1391337476348e-08	6.21822427645697e-08
CDH5	ENSG00000179776	16	64958064	64996186	+	2.83686871998882	4.09052408122504e-53	5.04752493891183e-51
IL8	ENSG00000169429	4	74825122	74828295	+	2.83483204143442	0.000116596578265326	0.00127954134226785
SEMA7A	ENSG00000138623	15	72489376	72513329	-	2.83103715199488	6.69734873405338e-32	2.13882581241408e-30
GJA5	ENSG00000143140	1	145694956	145712108	-	2.82544227226366	0.000145158179345216	0.00140921819137957
RTN4RL2	ENSG00000186907	11	56984893	57001005	+	2.80135545080201	5.98828627009927e-15	6.51200344030602e-14
KIAA1199	ENSG00000103888	15	78858767	79031172	+	2.79749023262702	1.2903690664609e-46	1.36564875330232e-44
BCAS4	ENSG00000124243	20	48844874	48927120	+	2.79710384678349	9.88774945542597e-07	4.71558683570207e-06
SAA2	ENSG00000134339	11	18223367	18226758	-	2.79034166172942	0.00530613289046851	0.0386728615382395
FGF7P2	ENSG00000140285	15	47502751	47566815	+	2.71954352553711	5.58938475680779e-16	6.62350965070548e-15
TMEM151A	ENSG00000179292	11	65815917	65820707	+	2.7155220246571	0.00103583668140879	0.00964636434573911
PDGFC	ENSG00000145431	4	157902214	158111996	-	2.7011002122354	3.41429060257741e-12	3.19160836346317e-11
PSG1	ENSG00000221878	19	48049852	48075711	-	2.69246284144942	2.17452223982109e-07	1.14173064963307e-06
FOSL1	ENSG00000175592	11	65416268	65424573	-	2.68673426278259	1.26969202280492e-13	2.03603451281341e-12
CACNA2D2	ENSG00000007402	3	50375237	50516032	-	2.67577576623141	3.08901509565096e-05	0.000117518979497144
LIF	ENSG00000128342	22	28966441	28972748	-	2.66234877234899	2.38358347554723e-32	6.23461078239408e-31
GGT5	ENSG00000099998	22	22945622	22971110	-	2.61546033106017	8.68154090358203e-05	0.0011755473602522
EPAS1	ENSG00000116016	2	46378067	46467339	+	2.58967534120057	2.31547855901512e-244	1.86329770593012e-240
AURKC	ENSG00000105146	19	62434240	62438727	+	2.5866130629858	0.001529476364267	0.0135630759444461
SOCS2	ENSG00000120833	12	92487729	92494109	+	2.55420920440063	4.6815630553516e-08	2.37234166778832e-07
CLCA2	ENSG00000137975	1	86662413	86694826	+	2.55141105781531	1.49141755327938e-08	9.21139251177774e-08
KCND3	ENSG00000171385	1	112114807	112333300	-	2.54799746072288	0.00070340492333586	0.0073359321758397
TRPV3	ENSG00000167723	17	3360546	3408039	-	2.48397601432058	7.15211651426219e-09	4.62670854929586e-08
PHLDA1	ENSG00000139289	12	74705494	74711823	-	2.43606303558089	1.00751669896166e-42	6.38017439150235e-41
PID1	ENSG00000153823	2	229596936	229844301	-	2.42084642516584	2.64341992875714e-11	2.05742061984189e-10
HTRA3	ENSG00000170801	4	8322392	8359738	+	2.40272547821062	5.59163640418498e-05	0.000200546874060866
TBC1D2	ENSG00000095383	9	100001132	100057736	-	2.3930041493491	2.20884976859525e-68	3.77366377815451e-66
KIAA1244	ENSG00000112379	6	138524917	138701629	+	2.36961778075494	5.65601197421388e-13	5.14532586891926e-12
CHPF	ENSG00000123989	2	220111922	220116682	-	2.36483057870807	2.1730046257633e-38	1.5331846447275e-36
FABP3	ENSG00000121769	1	31610687	31618510	-	2.36241300527384	4.03709899269608e-31	1.43446192345003e-29
BHLHE41	ENSG00000123095	12	26164228	26169113	-	2.34915680871786	1.43329901033147e-05	5.71085682274028e-05
CYP27B1	ENSG00000111012	12	56442385	56447243	-	2.34066575080777	2.0180277104063e-08	1.1958097877206e-07
C4orf19	ENSG00000154274	4	37131993	37269843	+	2.306535350324	7.9527431317217e-05	0.000277961049521679
B3GNT5	ENSG00000176597	3	184453726	184473872	+	2.28189304721213	1.6248103457152e-05	6.3987847326661e-05
COL5A2	ENSG00000204262	2	189604886	189752850	-	2.26503911817788	2.91672650070699e-18	4.09453562089467e-17
CRYAB	ENSG00000109846	11	111284560	111287704	-	2.25157108139278	2.5850854253206e-09	1.73267745201711e-08
C19orf51	ENSG00000167646	19	60361843	60369831	-	2.24980719960347	0.000609880382835204	0.00600851946223231
DUSP4	ENSG00000120875	8	29249539	29264104	-	2.24381272841373	1.18110973611072e-17	1.66548711895183e-16
P2RY11	ENSG00000221830	19	10083197	10087065	+	2.1944845511523	2.81368232193868e-11	2.05964447750162e-10
MMP24	ENSG00000125966	20	33278095	33328218	+	2.18279202784973	6.7961616885659e-36	3.10146616968125e-34
C7orf10	ENSG00000175600	7	40141100	40866882	+	2.17137519062718	0.000761886231973388	0.00786757258992593
GPR173	ENSG00000184194	X	53095231	53126522	+	2.16096159533798	6.19140120128055e-09	3.67574334232159e-08
GADD45A	ENSG00000116717	1	67923471	67926607	+	2.15245231526682	1.75463526825186e-29	3.98207039955898e-28
KIAA1324	ENSG00000116299	1	109458056	109550924	+	2.11920232854693	1.46082699730971e-07	6.94420412564997e-07
DMBT1	ENSG00000187908	10	124310171	124393242	+	2.11667978667836	5.75104688928193e-05	0.000205400629186323
LPL	ENSG00000175445	8	19840870	19869050	+	2.11502547296313	5.08851267593136e-10	3.44434643754809e-09
HRASLS2	ENSG00000133328	11	63076818	63087431	-	2.10288403519576	2.5451008738065e-05	9.6839736186759e-05
ATP8B2	ENSG00000143515	1	152564654	152590403	+	2.09848303530994	7.3714345193502e-22	1.52356663398058e-20
RCN3	ENSG00000142552	19	54722687	54738701	+	2.09604457787618	0.00125649228306942	0.0121972418726955
ANKRD1	ENSG00000148677	10	92661837	92671012	-	2.09314143679116	4.4780600776524e-13	6.72749291746554e-12
C3orf45	ENSG00000179564	3	50291522	50300548	+	2.08577520026529	0.000123718640684303	0.000426533429892761
GCLM	ENSG00000023909	1	94125178	94147600	-	2.07756991831835	1.3016908161047e-93	5.88415180474022e-91
NBPF6	ENSG00000196427	1	108794714	108814783	+	2.07244948061561	0.00123022840840603	0.0127258337986532
TM4SF19	ENSG00000145107	3	197534818	197549655	-	2.06466030278668	2.69872050412974e-05	0.000102097483751784
WDR66	ENSG00000158023	12	120840863	120926211	+	2.06396097368152	3.34934426592248e-05	0.000124575038409071
SCN2A	ENSG00000136531	2	165804158	165957064	+	2.05713108201466	0.00096010116602396	0.00777641121889603
KRT15	ENSG00000171346	17	36923523	36932191	-	2.05068173684499	0.00109983015490948	0.00968518472303998
PLAT	ENSG00000104368	8	42151393	42184351	-	2.04621392407583	3.91138072045147e-06	1.69418696144985e-05
GPR143	ENSG00000101850	X	9653454	9694005	-	2.03852314855554	0.00101419885088108	0.00900791132822455
MAP3K13	ENSG00000073803	3	186529396	186683293	+	2.02436999616405	0.000113948265538192	0.000388606530824486
F3	ENSG00000117525	1	94767461	94779903	-	2.00713537253187	6.41190834761383e-41	3.89995751130034e-39
